"","subject","catalog_number","name_of_class","term","start_date","timestamp","census_date","total_of_enrollments"
"155","MATH","7823","Topics in Discrete Math","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"156","MATH","8660","Math Finite Element Mthds","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"157","MATH","1010","Math for Liberal Arts","Spring 2019",2019-01-22,2018-11-04,2019-02-11,1
"158","MATH","1070","College Algebra for Business","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"159","MATH","1110","College Algebra","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"160","MATH","1120","College Trigonometry","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"161","MATH","1130","Precalculus Mathematics","Spring 2019",2019-01-22,2018-11-04,2019-02-11,4
"162","MATH","1401","Calculus I","Spring 2019",2019-01-22,2018-11-04,2019-02-11,13
"163","MATH","2411","Calculus II","Spring 2019",2019-01-22,2018-11-04,2019-02-11,3
"164","MATH","2421","Calculus III","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"165","MATH","2830","Introductory Statistics","Spring 2019",2019-01-22,2018-11-04,2019-02-11,2
"166","MATH","3000","Intro to Abstract Math","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"167","MATH","3191","Applied Linear Algebra","Spring 2019",2019-01-22,2018-11-04,2019-02-11,5
"168","MATH","3195","Linear Algebra Diff Equations","Spring 2019",2019-01-22,2018-11-04,2019-02-11,1
"169","MATH","3200","Elementary Diff Equations","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"170","MATH","3382","Statistical Theory","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"171","MATH","3440","Intro to Symbolic Logic","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"172","MATH","3800","Probablty-Statistcs Engineers","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"173","MATH","4010","History of Mathematics","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"174","MATH","4027","Topics in Mathematics","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"175","MATH","4110","Theory of Numbers","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"176","MATH","4310","Intro to Real Analysis I","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"177","MATH","4320","Intro Real Analysis II","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"178","MATH","4387","Applied Regression Analysis","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"179","MATH","4390","Game Theory","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"180","MATH","4408","Applied Graph Theory","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
